Explore_Iteration	MacroPopSize	MicroPopSize	Accuracy_Estimate	AveGenerality	ExpRules	Time(min)
4680	1000	1000	0.676923076923077	0.5131375	1.2094486554463704
9360	1000	1000	0.6852564102564103	0.5142500000000003	3.080315899848938
14040	1000	1000	0.6856837606837607	0.5059062499999997	5.044036897023519
18720	1000	1000	0.6726495726495727	0.5101531250000004	6.1842003981272375
23400	1000	1000	0.6786324786324787	0.5093250000000008	8.113722614447276
28080	1000	1000	0.6873931623931624	0.5094374999999995	9.264791174729664
32760	1000	1000	0.6844017094017094	0.5135906249999994	11.436705919106801
37440	1000	1000	0.6848290598290598	0.5116906250000005	12.668413519859314
42120	1000	1000	0.6897435897435897	0.5107875000000005	14.876853346824646
46800	1000	1000	0.677991452991453	0.511328125	16.08841460943222
