Explore_Iteration	MacroPopSize	MicroPopSize	Accuracy_Estimate	AveGenerality	ExpRules	Time(min)
4680	996	1000	0.4822649572649573	0.5814000000000009	0.36221564610799156
9360	984	1000	0.5388888888888889	0.6060749999999998	0.931499163309733
14040	991	1000	0.5508547008547009	0.6213250000000008	1.4777305483818055
18720	983	1000	0.5568376068376069	0.630125	1.8307018399238586
23400	995	1000	0.5826923076923077	0.6159750000000003	2.18292289574941
28080	992	1000	0.5807692307692308	0.6225875000000003	2.54324715534846
32760	994	1000	0.5805555555555556	0.617825	2.8960657676060992
37440	988	1000	0.5833333333333334	0.6163874999999994	3.254169181982676
42120	990	1000	0.5873931623931624	0.6314999999999998	3.612145404020945
46800	989	1000	0.582905982905983	0.6350625000000001	3.9494587659835814
